Mesh;Loadcase;LOAD_N;SIG_0_ABS;SIG_0;sigma0;m;V_mesh;A_mesh;Pf_mesh;S_mesh;VF_Gauss26;PF_Gauss26
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;17;0.02347815224;;0.3872562740798919;119.56651;0.02347815224;0.3872562740798919
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;18;0.02068704368;;0.4031112752780099;119.56651;0.02068704368;0.4031112752780099
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;19;0.01874612832;;0.4282792651334726;119.56651;0.01874612832;0.4282792651334726
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;20;0.01721658932;;0.4587950925581444;119.56651;0.01721658932;0.4587950925581444
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;21;0.01592972876;;0.4929865238697519;119.56651;0.01592972876;0.4929865238697519
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;22;0.01481231116;;0.5300596885854858;119.56651;0.01481231116;0.5300596885854858
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;23;0.01382595116;;0.5694883949157601;119.56651;0.01382595116;0.5694883949157601
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;24;0.01294714212;;0.6107887955095548;119.56651;0.01294714212;0.6107887955095548
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;25;0.012158907;;0.653398315418041;119.56651;0.012158907;0.653398315418041
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;26;0.01144792976;;0.6966357807757526;119.56651;0.01144792976;0.6966357807757526
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;27;0.01080400124;;0.7397186800187971;119.56651;0.01080400124;0.7397186800187971
12x12;PWH-400x400x1-PIA-V-RAW;40.0;True;100.0;100.0;28;0.01021826452;;0.781748024871811;119.56651;0.01021826452;0.781748024871811
